LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital,Prompt
gpt-4.1-mini,6.0,9.0,1.0,50.0,87.71929824561403,84.7457627118644,86.20689655172413,83.33333333333334,openai,hospital1,Normal
gpt-4.1-mini,9.0,19.0,4.0,37.0,74.0,66.07142857142857,69.81132075471699,61.66666666666667,openai,hospital2,Normal
gpt-4.1-mini,6.0,8.0,1.0,51.0,87.93103448275862,86.4406779661017,87.1794871794872,85.0,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,1.0,4.0,1.0,55.0,96.49122807017544,93.22033898305084,94.82758620689654,91.66666666666666,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,11.0,46.0,12.0,2.0,8.0,4.166666666666666,5.47945205479452,3.3333333333333335,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,43.0,14.0,3.0,8.823529411764707,6.521739130434782,7.5,5.0,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,6.0,43.0,3.0,14.0,60.86956521739131,24.561403508771928,34.99999999999999,23.333333333333332,huggingface,hospital1,
NuExtract:4B,1.0,35.0,9.0,16.0,61.53846153846154,31.37254901960784,41.55844155844156,26.666666666666668,huggingface,hospital2,
GliNER,13.249592074592076,58.24959207459207,0.0,1.7504079254079252,11.669386169386168,2.917346542346542,4.667754467754468,2.917346542346542,gliner,hospital1,
GliNER,12.775517598343686,55.77551759834368,0.0,4.224482401656314,24.849896480331257,7.040804002760523,10.972681562743672,7.040804002760523,gliner,hospital2,
gpt-4.1-mini,13.0,22.0,0.0,38.0,74.50980392156863,63.33333333333333,68.46846846846847,63.33333333333333,openai,hospital1,Normal
gpt-4.1-mini,0.0,3.0,4.0,53.0,92.98245614035088,94.64285714285714,93.80530973451329,88.33333333333333,openai,hospital2,Normal
gpt-4.1-mini,5.0,6.0,1.0,53.0,89.83050847457628,89.83050847457628,89.83050847457628,88.33333333333333,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,0.0,0.0,2.0,58.0,96.66666666666669,100.0,98.30508474576273,96.66666666666669,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,0.0,51.0,0.0,9.0,100.0,15.0,26.08695652173913,15.0,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,43.0,14.0,3.0,8.823529411764707,6.521739130434782,7.5,5.0,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,8.0,34.0,23.0,3.0,8.823529411764707,8.108108108108109,8.450704225352114,5.0,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,7.0,35.0,3.0,14.0,58.333333333333336,28.57142857142857,38.35616438356164,26.923076923076923,huggingface,hospital1,
NuExtract:4B,1.0,29.0,4.0,19.0,79.16666666666666,39.58333333333333,52.77777777777777,36.53846153846153,huggingface,hospital2,
GliNER,12.507221536633304,49.5072215366333,0.0,2.4927784633666983,16.618523089111324,4.79380473724365,7.441129741393128,4.79380473724365,gliner,hospital1,
GliNER,11.937670858323033,47.93767085832303,0.0,4.062329141676968,25.38955713548105,7.812171426301862,11.9480268872852,7.812171426301862,gliner,hospital2,
llama3.170b,7.0,11.0,0.0,41.0,85.41666666666666,78.84615384615384,81.99999999999999,78.84615384615384,ollama,hospital1,Normal
gemma327b,7.0,15.0,2.0,35.0,79.54545454545455,70.0,74.46808510638297,67.3076923076923,ollama,hospital1,Normal
mistral(24b),6.0,7.0,0.0,45.0,88.23529411764706,86.53846153846155,87.37864077669903,86.53846153846155,ollama,hospital1,Normal
gemma327b,13.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,Normal
llama3.170b,3.0,7.0,1.0,44.0,91.66666666666666,86.27450980392157,88.88888888888889,84.61538461538461,ollama,hospital2,Normal
llama3.170b,7.0,11.0,0.0,41.0,85.41666666666666,78.84615384615384,81.99999999999999,78.84615384615384,ollama,hospital1,LTNER/GPT-NER
gemma327b,7.0,15.0,2.0,35.0,79.54545454545455,70.0,74.46808510638297,67.3076923076923,ollama,hospital1,LTNER/GPT-NER
mistral(24b),6.0,7.0,0.0,45.0,88.23529411764706,86.53846153846155,87.37864077669903,86.53846153846155,ollama,hospital1,LTNER/GPT-NER
gemma327b,13.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,LTNER/GPT-NER
llama3.170b,3.0,7.0,1.0,44.0,91.66666666666666,86.27450980392157,88.88888888888889,84.61538461538461,ollama,hospital2,LTNER/GPT-NER
gemma327b*ImageInput*,3.0,5.0,1.0,46.0,92.0,90.19607843137256,91.0891089108911,88.46153846153845,ollama_vision,hospital1,Normal
mistral(24b)*ImageInput*,3.0,39.0,3.0,10.0,62.5,20.40816326530612,30.76923076923077,19.230769230769234,ollama_vision,hospital1,Normal
gemma327b*ImageInput*,3.0,8.0,10.0,34.0,72.3404255319149,80.95238095238095,76.40449438202248,65.38461538461539,ollama_vision,hospital2,Normal
mistral(24b)*ImageInput*,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,Normal
gemma327b*ImageInput*,3.0,32.0,0.0,20.0,86.95652173913044,38.46153846153847,53.33333333333334,38.46153846153847,ollama_vision,hospital1,LTNER/GPT-NER
mistral(24b)*ImageInput*,1.0,41.0,3.0,8.0,66.66666666666666,16.3265306122449,26.229508196721312,15.384615384615383,ollama_vision,hospital1,LTNER/GPT-NER
gemma327b*ImageInput*,8.0,26.0,23.0,3.0,8.823529411764707,10.344827586206897,9.523809523809524,5.769230769230769,ollama_vision,hospital2,LTNER/GPT-NER
mistral(24b)*ImageInput*,0.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,LTNER/GPT-NER
gpt-4.1-mini,8.0,12.0,2.0,38.0,79.16666666666666,76.0,77.55102040816327,73.07692307692307,openai,hospital1,Normal
gpt-4.1-mini,2.0,6.0,5.0,41.0,85.41666666666666,87.2340425531915,86.3157894736842,78.84615384615384,openai,hospital2,Normal
gpt-4.1-mini,7.0,10.0,0.0,42.0,85.71428571428571,80.76923076923077,83.16831683168316,80.76923076923077,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,1.0,2.0,2.0,48.0,94.11764705882352,96.0,95.04950495049503,92.3076923076923,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,12.0,38.0,12.0,2.0,7.6923076923076925,5.0,6.06060606060606,3.8461538461538463,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,35.0,15.0,2.0,5.88235294117647,5.405405405405405,5.633802816901409,3.8461538461538463,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,8.0,26.0,23.0,3.0,8.823529411764707,10.344827586206897,9.523809523809524,5.769230769230769,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,7.0,37.0,3.0,14.0,58.333333333333336,27.450980392156865,37.33333333333334,25.925925925925924,huggingface,hospital1,
NuExtract:4B,1.0,32.0,3.0,19.0,82.6086956521739,37.25490196078432,51.351351351351354,35.18518518518518,huggingface,hospital2,
GliNER,13.129598662207355,51.12959866220736,0.0,2.870401337792642,17.94000836120401,5.315558032949337,8.201146679407548,5.315558032949337,gliner,hospital1,
GliNER,12.796906957776525,50.79690695777652,0.0,3.203093042223476,20.019331513896727,5.931653781895326,9.15169440635279,5.931653781895326,gliner,hospital2,
llama3.170b,7.0,12.0,0.0,42.0,85.71428571428571,77.77777777777779,81.55339805825243,77.77777777777779,ollama,hospital1,Normal
gemma327b,5.0,11.0,2.0,41.0,85.41666666666666,78.84615384615384,81.99999999999999,75.92592592592592,ollama,hospital1,Normal
mistral(24b),6.0,7.0,0.0,47.0,88.67924528301887,87.03703703703704,87.85046728971963,87.03703703703704,ollama,hospital1,Normal
gemma327b,13.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,Normal
mistral(24b),1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,Normal
llama3.170b,3.0,9.0,1.0,44.0,91.66666666666666,83.01886792452831,87.12871287128714,81.48148148148148,ollama,hospital2,Normal
llama3.170b,7.0,12.0,0.0,42.0,85.71428571428571,77.77777777777779,81.55339805825243,77.77777777777779,ollama,hospital1,LTNER/GPT-NER
gemma327b,5.0,11.0,2.0,41.0,85.41666666666666,78.84615384615384,81.99999999999999,75.92592592592592,ollama,hospital1,LTNER/GPT-NER
mistral(24b),6.0,7.0,0.0,47.0,88.67924528301887,87.03703703703704,87.85046728971963,87.03703703703704,ollama,hospital1,LTNER/GPT-NER
gemma327b,13.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,LTNER/GPT-NER
mistral(24b),1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,LTNER/GPT-NER
llama3.170b,3.0,9.0,1.0,44.0,91.66666666666666,83.01886792452831,87.12871287128714,81.48148148148148,ollama,hospital2,LTNER/GPT-NER
gemma327b*ImageInput*,3.0,5.0,2.0,47.0,90.3846153846154,90.3846153846154,90.3846153846154,87.03703703703704,ollama_vision,hospital1,Normal
mistral(24b)*ImageInput*,3.0,44.0,2.0,8.0,61.53846153846154,15.384615384615383,24.615384615384617,14.814814814814811,ollama_vision,hospital1,Normal
gemma327b*ImageInput*,1.0,5.0,12.0,37.0,74.0,88.09523809523809,80.43478260869566,68.51851851851852,ollama_vision,hospital2,Normal
mistral(24b)*ImageInput*,0.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,Normal
gemma327b*ImageInput*,6.0,29.0,3.0,22.0,70.96774193548387,43.13725490196079,53.65853658536585,40.74074074074074,ollama_vision,hospital1,LTNER/GPT-NER
mistral(24b)*ImageInput*,4.0,45.0,4.0,5.0,38.46153846153847,10.0,15.873015873015872,9.25925925925926,ollama_vision,hospital1,LTNER/GPT-NER
gemma327b*ImageInput*,8.0,28.0,24.0,2.0,5.88235294117647,6.666666666666667,6.249999999999999,3.7037037037037033,ollama_vision,hospital2,LTNER/GPT-NER
mistral(24b)*ImageInput*,0.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,LTNER/GPT-NER
gpt-4.1-mini,6.0,8.0,3.0,43.0,82.6923076923077,84.31372549019608,83.49514563106797,79.62962962962963,openai,hospital1,Normal
gpt-4.1-mini,7.0,14.0,5.0,35.0,74.46808510638297,71.42857142857143,72.91666666666667,64.81481481481481,openai,hospital2,Normal
gpt-4.1-mini,5.0,6.0,2.0,46.0,86.79245283018868,88.46153846153845,87.61904761904762,85.18518518518519,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,1.0,2.0,3.0,49.0,92.45283018867924,96.07843137254902,94.23076923076924,90.74074074074076,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,0.0,45.0,0.0,9.0,100.0,16.666666666666664,28.57142857142857,16.666666666666664,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,2.0,31.0,22.0,1.0,4.0,3.125,3.508771929824561,1.8518518518518516,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,37.0,15.0,2.0,5.88235294117647,5.128205128205128,5.47945205479452,3.7037037037037033,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,8.0,28.0,24.0,2.0,5.88235294117647,6.666666666666667,6.249999999999999,3.7037037037037033,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,7.0,44.0,7.0,11.0,44.0,20.0,27.5,17.741935483870968,huggingface,hospital1,
NuExtract:4B,1.0,39.0,7.0,16.0,66.66666666666666,29.09090909090909,40.506329113924046,25.806451612903224,huggingface,hospital2,
GliNER,11.81976911976912,57.81976911976912,0.0,4.18023088023088,26.126443001443,6.742307871340129,10.718540718540718,6.742307871340129,gliner,hospital1,
GliNER,11.839974937343358,55.83997493734336,0.0,6.160025062656642,34.22236145920357,9.935524294607486,15.400062656641603,9.935524294607486,gliner,hospital2,
gpt-4.1-mini,6.0,8.0,4.0,50.0,83.33333333333334,86.20689655172413,84.7457627118644,80.64516129032258,openai,hospital1,Normal
gpt-4.1-mini,1.0,4.0,3.0,55.0,93.22033898305084,93.22033898305084,93.22033898305084,88.70967741935483,openai,hospital2,Normal
gpt-4.1-mini,6.0,8.0,3.0,51.0,85.0,86.4406779661017,85.71428571428572,82.25806451612904,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,1.0,2.0,2.0,58.0,95.08196721311477,96.66666666666669,95.86776859504133,93.5483870967742,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,0.0,53.0,0.0,9.0,100.0,14.516129032258066,25.35211267605634,14.516129032258066,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,45.0,14.0,3.0,8.823529411764707,6.25,7.317073170731708,4.838709677419355,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,8.0,36.0,20.0,6.0,17.647058823529413,14.285714285714285,15.789473684210527,9.67741935483871,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,7.0,23.0,3.0,14.0,58.333333333333336,37.83783783783784,45.90163934426229,35.0,huggingface,hospital1,
NuExtract:4B,1.0,14.0,8.0,18.0,66.66666666666666,56.25,61.016949152542374,45.0,huggingface,hospital2,
GliNER,13.181800655484867,38.181800655484864,0.0,1.8181993445151337,12.121328963434223,4.545498361287834,6.611633980055031,4.545498361287834,gliner,hospital1,
GliNER,13.286382245205775,36.28638224520577,0.0,3.713617754794225,21.84481032231897,9.284044386985563,13.030237736120087,9.284044386985563,gliner,hospital2,
llama3.170b,4.0,6.0,0.0,34.0,89.47368421052632,85.0,87.17948717948718,85.0,ollama,hospital1,Normal
gemma327b,5.0,11.0,3.0,26.0,76.47058823529412,70.27027027027027,73.2394366197183,65.0,ollama,hospital1,Normal
mistral(24b),9.0,11.0,0.0,29.0,76.31578947368422,72.5,74.35897435897436,72.5,ollama,hospital1,Normal
gemma327b,8.0,23.0,0.0,17.0,68.0,42.5,52.30769230769231,42.5,ollama,hospital2,Normal
mistral(24b),3.0,22.0,1.0,17.0,80.95238095238095,43.58974358974359,56.666666666666664,42.5,ollama,hospital2,Normal
llama3.170b,0.0,1.0,1.0,38.0,97.43589743589745,97.43589743589745,97.43589743589745,95.0,ollama,hospital2,Normal
llama3.170b,4.0,6.0,0.0,34.0,89.47368421052632,85.0,87.17948717948718,85.0,ollama,hospital1,LTNER/GPT-NER
gemma327b,5.0,11.0,3.0,26.0,76.47058823529412,70.27027027027027,73.2394366197183,65.0,ollama,hospital1,LTNER/GPT-NER
mistral(24b),9.0,11.0,0.0,29.0,76.31578947368422,72.5,74.35897435897436,72.5,ollama,hospital1,LTNER/GPT-NER
gemma327b,8.0,23.0,0.0,17.0,68.0,42.5,52.30769230769231,42.5,ollama,hospital2,LTNER/GPT-NER
mistral(24b),3.0,22.0,1.0,17.0,80.95238095238095,43.58974358974359,56.666666666666664,42.5,ollama,hospital2,LTNER/GPT-NER
llama3.170b,0.0,1.0,1.0,38.0,97.43589743589745,97.43589743589745,97.43589743589745,95.0,ollama,hospital2,LTNER/GPT-NER
gemma327b*ImageInput*,4.0,8.0,0.0,32.0,88.88888888888889,80.0,84.21052631578948,80.0,ollama_vision,hospital1,Normal
mistral(24b)*ImageInput*,4.0,23.0,8.0,9.0,42.857142857142854,28.125,33.96226415094339,22.5,ollama_vision,hospital1,Normal
gemma327b*ImageInput*,0.0,3.0,10.0,27.0,72.97297297297297,90.0,80.59701492537313,67.5,ollama_vision,hospital2,Normal
mistral(24b)*ImageInput*,4.0,32.0,6.0,2.0,16.666666666666664,5.88235294117647,8.695652173913043,5.0,ollama_vision,hospital2,Normal
gemma327b*ImageInput*,14.0,20.0,13.0,7.0,20.588235294117645,25.925925925925924,22.950819672131143,17.5,ollama_vision,hospital1,LTNER/GPT-NER
mistral(24b)*ImageInput*,3.0,34.0,3.0,3.0,33.33333333333333,8.108108108108109,13.043478260869565,7.5,ollama_vision,hospital1,LTNER/GPT-NER
gemma327b*ImageInput*,8.0,14.0,21.0,5.0,14.705882352941178,26.31578947368421,18.867924528301888,12.5,ollama_vision,hospital2,LTNER/GPT-NER
mistral(24b)*ImageInput*,0.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,LTNER/GPT-NER
gpt-4.1-mini,6.0,8.0,1.0,31.0,81.57894736842105,79.48717948717949,80.51948051948052,77.5,openai,hospital1,Normal
gpt-4.1-mini,1.0,4.0,3.0,33.0,89.1891891891892,89.1891891891892,89.1891891891892,82.5,openai,hospital2,Normal
gpt-4.1-mini,5.0,6.0,1.0,33.0,84.61538461538461,84.61538461538461,84.61538461538461,82.5,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,0.0,0.0,2.0,38.0,95.0,100.0,97.43589743589745,95.0,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,0.0,31.0,0.0,9.0,100.0,22.5,36.734693877551024,22.5,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,23.0,13.0,4.0,11.76470588235294,14.814814814814811,13.114754098360656,10.0,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,8.0,14.0,21.0,5.0,14.705882352941178,26.31578947368421,18.867924528301888,12.5,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,6.0,21.0,3.0,16.0,64.0,43.24324324324324,51.61290322580645,40.0,huggingface,hospital1,
NuExtract:4B,0.0,12.0,9.0,19.0,67.85714285714286,61.29032258064516,64.40677966101696,47.5,huggingface,hospital2,
GliNER,13.181800655484867,38.181800655484864,0.0,1.8181993445151337,12.121328963434223,4.545498361287834,6.611633980055031,4.545498361287834,gliner,hospital1,
GliNER,13.286382245205775,36.28638224520577,0.0,3.713617754794225,21.84481032231897,9.284044386985563,13.030237736120087,9.284044386985563,gliner,hospital2,
llama3.170b,4.0,6.0,0.0,34.0,89.47368421052632,85.0,87.17948717948718,85.0,ollama,hospital1,Normal
gemma327b,5.0,11.0,3.0,26.0,76.47058823529412,70.27027027027027,73.2394366197183,65.0,ollama,hospital1,Normal
mistral(24b),9.0,11.0,0.0,29.0,76.31578947368422,72.5,74.35897435897436,72.5,ollama,hospital1,Normal
gemma327b,8.0,23.0,0.0,17.0,68.0,42.5,52.30769230769231,42.5,ollama,hospital2,Normal
mistral(24b),3.0,22.0,1.0,17.0,80.95238095238095,43.58974358974359,56.666666666666664,42.5,ollama,hospital2,Normal
llama3.170b,0.0,1.0,1.0,38.0,97.43589743589745,97.43589743589745,97.43589743589745,95.0,ollama,hospital2,Normal
llama3.170b,4.0,6.0,0.0,34.0,89.47368421052632,85.0,87.17948717948718,85.0,ollama,hospital1,LTNER/GPT-NER
gemma327b,5.0,11.0,3.0,26.0,76.47058823529412,70.27027027027027,73.2394366197183,65.0,ollama,hospital1,LTNER/GPT-NER
mistral(24b),9.0,11.0,0.0,29.0,76.31578947368422,72.5,74.35897435897436,72.5,ollama,hospital1,LTNER/GPT-NER
gemma327b,8.0,23.0,0.0,17.0,68.0,42.5,52.30769230769231,42.5,ollama,hospital2,LTNER/GPT-NER
mistral(24b),3.0,22.0,1.0,17.0,80.95238095238095,43.58974358974359,56.666666666666664,42.5,ollama,hospital2,LTNER/GPT-NER
llama3.170b,0.0,1.0,1.0,38.0,97.43589743589745,97.43589743589745,97.43589743589745,95.0,ollama,hospital2,LTNER/GPT-NER
gemma327b*ImageInput*,4.0,8.0,0.0,32.0,88.88888888888889,80.0,84.21052631578948,80.0,ollama_vision,hospital1,Normal
mistral(24b)*ImageInput*,4.0,23.0,8.0,9.0,42.857142857142854,28.125,33.96226415094339,22.5,ollama_vision,hospital1,Normal
gemma327b*ImageInput*,0.0,3.0,10.0,27.0,72.97297297297297,90.0,80.59701492537313,67.5,ollama_vision,hospital2,Normal
mistral(24b)*ImageInput*,4.0,32.0,6.0,2.0,16.666666666666664,5.88235294117647,8.695652173913043,5.0,ollama_vision,hospital2,Normal
gemma327b*ImageInput*,14.0,20.0,13.0,7.0,20.588235294117645,25.925925925925924,22.950819672131143,17.5,ollama_vision,hospital1,LTNER/GPT-NER
mistral(24b)*ImageInput*,3.0,34.0,3.0,3.0,33.33333333333333,8.108108108108109,13.043478260869565,7.5,ollama_vision,hospital1,LTNER/GPT-NER
gemma327b*ImageInput*,8.0,14.0,21.0,5.0,14.705882352941178,26.31578947368421,18.867924528301888,12.5,ollama_vision,hospital2,LTNER/GPT-NER
mistral(24b)*ImageInput*,0.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,LTNER/GPT-NER
gpt-4.1-mini,6.0,8.0,1.0,31.0,81.57894736842105,79.48717948717949,80.51948051948052,77.5,openai,hospital1,Normal
gpt-4.1-mini,1.0,4.0,3.0,33.0,89.1891891891892,89.1891891891892,89.1891891891892,82.5,openai,hospital2,Normal
gpt-4.1-mini,5.0,6.0,1.0,33.0,84.61538461538461,84.61538461538461,84.61538461538461,82.5,openai,hospital1,LTNER/GPT-NER
gpt-4.1-mini,0.0,0.0,2.0,38.0,95.0,100.0,97.43589743589745,95.0,openai,hospital2,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,0.0,31.0,0.0,9.0,100.0,22.5,36.734693877551024,22.5,openai_vision,hospital1,Normal
gpt-4.1-mini*ImageInput*,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,openai_vision,hospital2,Normal
gpt-4.1-mini*ImageInput*,17.0,23.0,13.0,4.0,11.76470588235294,14.814814814814811,13.114754098360656,10.0,openai_vision,hospital1,LTNER/GPT-NER
gpt-4.1-mini*ImageInput*,8.0,14.0,21.0,5.0,14.705882352941178,26.31578947368421,18.867924528301888,12.5,openai_vision,hospital2,LTNER/GPT-NER
NuExtract:4B,12.0,47.0,14.0,25.0,49.01960784313725,34.72222222222222,40.65040650406504,29.069767441860467,huggingface,hospital1,
NuExtract:4B,1.0,34.0,16.0,36.0,67.9245283018868,51.42857142857142,58.53658536585366,41.86046511627907,huggingface,hospital2,
GliNER,14.189020326079149,84.18902032607915,0.0,1.8109796739208504,11.318622962005316,2.105790318512617,3.550940537099707,2.105790318512617,gliner,hospital1,
GliNER,10.0227412267892,81.0227412267892,0.0,4.9772587732108,33.181725154738665,5.787510201407907,9.85595796675406,5.787510201407907,gliner,hospital2,
llama3.170b,1.0,46.0,5.0,35.0,85.36585365853658,43.20987654320987,57.37704918032786,40.69767441860465,ollama,hospital1,Normal
gemma327b,22.0,79.0,0.0,7.0,24.13793103448276,8.13953488372093,12.173913043478262,8.13953488372093,ollama,hospital1,Normal
mistral(24b),12.0,18.0,2.8333333333333335,65.16666666666667,81.45833333333334,78.3567134268537,79.87742594484168,75.7751937984496,ollama,hospital1,Normal
gemma327b,0.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,Normal
mistral(24b),5.0,64.0,4.0,18.0,66.66666666666666,21.951219512195124,33.027522935779814,20.930232558139537,ollama,hospital2,Normal
llama3.170b,16.0,83.0,0.0,3.0,15.789473684210526,3.488372093023256,5.714285714285714,3.488372093023256,ollama,hospital2,Normal
llama3.170b,1.0,46.0,5.0,35.0,85.36585365853658,43.20987654320987,57.37704918032786,40.69767441860465,ollama,hospital1,LTNER/GPT-NER
